FECHA;INFL;POP;DES;OCU;PEA;PET;TD;TO;TGP ;ITCR_FMI
1/01/2001;8.49;38378406;3011925;15107832;18119756;26240156;16.6;57.6;69.1;140.71
1/02/2001;8.06;38419624;3158938;14960258;18119196;26279165;17.4;56.9;68.9;142.97
1/03/2001;7.81;38456836;2845501;15150407;17995908;26314458;15.8;57.6;68.4;146.27
1/04/2001;7.98;38498053;2494963;14693805;17188768;26353437;14.5;55.8;65.2;147.17
1/05/2001;7.87;38538005;2422820;14838856;17261676;26391541;14;56.2;65.4;150.93
1/06/2001;7.93;38579777;2684709;14848264;17532973;26431565;15.3;56.2;66.3;151.18
1/07/2001;8.09;38637239;2683399;14989360;17672759;26478773;15.2;56.6;66.7;154.4
1/08/2001;8.03;38679542;2667145;15216940;17884085;26519189;14.9;57.4;67.4;155.04
1/09/2001;7.97;38721195;2553311;15588543;18141854;26559050;14.1;58.7;68.3;155.69
1/10/2001;8.01;38761045;2646790;15575599;18222389;26597255;14.5;58.6;68.5;158.26
1/11/2001;7.78;38801883;2539624;16021870;18561494;26636636;13.7;60.1;69.7;156.92
1/12/2001;7.65;38841171;2497745;15856657;18354402;26674674;13.6;59.4;68.8;155.74
1/01/2002;7.37;38881700;3270766;14991614;18262380;26714021;17.9;56.1;68.4;151.73
1/02/2002;6.7;38922070;2954268;15294535;18248803;26753309;16.2;57.2;68.2;154.61
1/03/2002;5.89;38958537;2718519;15271333;17989851;26788946;15.1;57;67.2;157.37
1/04/2002;5.65;38998917;2970982;15508718;18479700;26828522;16.1;57.8;68.9;155.89
1/05/2002;5.84;39038432;2692031;15228458;17920489;26867375;15;56.7;66.7;151.75
1/06/2002;6.25;39079685;2849900;15061580;17911480;26908122;15.9;56;66.6;153.54
1/07/2002;6.16;39130480;2802981;15367372;18170353;26952653;15.4;57;67.4;149.28
1/08/2002;5.98;39172507;2865793;15098463;17964256;26994098;16;55.9;66.5;147.18
1/09/2002;5.97;39214103;2607193;15416346;18023539;27035235;14.5;57;66.7;146.4
1/10/2002;6.37;39254121;2781489;15795719;18577208;27074804;15;58.3;68.6;144.3
1/11/2002;7.07;39295099;2817604;15732295;18549899;27115440;15.2;58;68.4;142.49
1/12/2002;6.99;39334719;2805873;15387496;18193369;27154989;15.4;56.7;67;149.21
1/01/2003;7.39;39375811;2982630;15347741;18330372;27196010;16.3;56.4;67.4;153.48
1/02/2003;7.24;39416515;2925785;15546976;18472761;27236780;15.8;57.1;67.8;150.49
