FECHA;INFL;POP;DES;OCU;SUBOCUPADOS;PEA;PET;TD;TO;TGP ;ITCR_FMI
1/01/2001;8.49;38378406;3011925;15107832;2142796;18119756;26240156;16.6;57.6;69.1;140.71
1/02/2001;8.06;38419624;3158938;14960258;2115827;18119196;26279165;17.4;56.9;68.9;142.97
1/03/2001;7.81;38456836;2845501;15150407;2154627;17995908;26314458;15.8;57.6;68.4;146.27
1/04/2001;7.98;38498053;2494963;14693805;1799059;17188768;26353437;14.5;55.8;65.2;147.17
1/05/2001;7.87;38538005;2422820;14838856;1835549;17261676;26391541;14.0;56.2;65.4;150.93
1/06/2001;7.93;38579777;2684709;14848264;1746757;17532973;26431565;15.3;56.2;66.3;151.18
1/07/2001;8.09;38637239;2683399;14989360;2520854;17672759;26478773;15.2;56.6;66.7;154.40
1/08/2001;8.03;38679542;2667145;15216940;2362083;17884085;26519189;14.9;57.4;67.4;155.04
1/09/2001;7.97;38721195;2553311;15588543;2576340;18141854;26559050;14.1;58.7;68.3;155.69
1/10/2001;8.01;38761045;2646790;15575599;2393345;18222389;26597255;14.5;58.6;68.5;158.26
1/11/2001;7.78;38801883;2539624;16021870;2307509;18561494;26636636;13.7;60.1;69.7;156.92
1/12/2001;7.65;38841171;2497745;15856657;1794132;18354402;26674674;13.6;59.4;68.8;155.74
1/01/2002;7.37;38881700;3270766;14991614;2286545;18262380;26714021;17.9;56.1;68.4;151.73
1/02/2002;6.70;38922070;2954268;15294535;2663404;18248803;26753309;16.2;57.2;68.2;154.61
1/03/2002;5.89;38958537;2718519;15271333;2449051;17989851;26788946;15.1;57.0;67.2;157.37
1/04/2002;5.65;38998917;2970982;15508718;2506293;18479700;26828522;16.1;57.8;68.9;155.89
1/05/2002;5.84;39038432;2692031;15228458;2351130;17920489;26867375;15.0;56.7;66.7;151.75
1/06/2002;6.25;39079685;2849900;15061580;2341386;17911480;26908122;15.9;56.0;66.6;153.54
1/07/2002;6.16;39130480;2802981;15367372;2331485;18170353;26952653;15.4;57.0;67.4;149.28
1/08/2002;5.98;39172507;2865793;15098463;2457500;17964256;26994098;16.0;55.9;66.5;147.18
1/09/2002;5.97;39214103;2607193;15416346;2491488;18023539;27035235;14.5;57.0;66.7;146.40
