 AÑO,MES,INFL,POP,TI_C,TI_R,TBILRATE,U,E,PEA,PET,U_RATE,TGP ,ITCR_IPC
2008,1,6,42963495,9.12,9.5,15.5,2515002,16714265,19229267,33341671,13.08,57.67,114.5
2008,2,6.35,43005705,9.3,9.56,15.91,2359691,17328185,19687876,33388159,11.99,58.97,109.61
2008,3,5.93,43047949,9.59,9.75,15.68,2240624,17721275,19961899,33434672,11.22,59.7,104.96
2008,4,5.73,43090205,9.79,9.75,15.48,2219363,17722347,19941710,33481169,11.13,59.56,103.24
2008,5,6.39,43132489,9.59,9.75,16.14,2149557,17683566,19833123,33527668,10.84,59.15,102.26
2008,6,7.18,43174807,9.75,9.75,16.93,2144290,17048300,19192590,33574191,11.17,57.16,98.59
2008,7,7.52,43217124,9.61,9.79,17.31,2380605,17352803,19733408,33620681,12.06,58.69,103.43
2008,8,7.87,43259496,9.96,10,17.87,2189481,17331653,19521134,33667214,11.22,57.98,105.44
2008,9,7.57,43301861,9.92,10,17.57,2160032,17569139,19729171,33713715,10.95,58.52,115.73
2008,10,7.94,43344288,10.02,10,17.94,2004596,17797350,19801946,33760243,10.12,58.65,122.28
2008,11,7.73,43386723,10.13,10,17.73,2101269,17352322,19453591,33806759,10.8,57.54,121.9
2008,12,7.67,43429180,10.12,9.83,17.5,2097559,17678032,19775591,33853251,10.61,58.42,117.66
2009,1,7.18,43471647,9.69,9.5,16.68,2834737,17060138,19894875,33899731,14.25,58.69,115.8
2009,2,6.47,43514130,8.98,9,15.47,2528759,17719776,20248535,33946191,12.49,59.65,126.8
2009,3,6.14,43556655,8.17,7.71,13.85,2472370,18144695,20617065,33992637,11.99,60.65,124.73
2009,4,5.73,43599190,7.12,7,12.73,2544043,18410412,20954455,34039043,12.14,61.56,121.66
2009,5,4.77,43641754,6.2,6,10.77,2448550,18543985,20992535,34085445,11.66,61.59,116.09
2009,6,3.81,43684327,5.52,4.87,8.68,2365860,18500345,20866205,34131799,11.34,61.13,110.31
2009,7,3.28,43726866,5.15,4.5,7.78,2662600,18415520,21078120,34178078,12.63,61.67,108.61
2009,8,3.13,43769480,5.08,4.5,7.63,2429003,18254881,20683884,34224361,11.74,60.44,108.07
2009,9,3.21,43812079,4.89,4.43,7.64,2528294,18270503,20798797,34270564,12.16,60.69,107.43
2009,10,2.72,43854735,4.41,4,6.72,2533122,19407206,21940328,34316751,11.55,63.93,104.19
2009,11,2.37,43897374,4.4,3.87,6.24,2394205,19217299,21611504,34362853,11.08,62.89,108.52
2009,12,2,43940061,4.12,3.5,5.5,2435671,19097060,21532731,34408924,11.31,62.58,109.73
2010,1,2.1,43982752,4.04,3.5,5.6,3128778,18267381,21396159,34454910,14.62,62.1,105.7
